,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,14.957207,2.517255,1.2692496399775465e-30,1.1781175158271587e-26
1,IGKC,14.082807,2.9393466,2.4830094150271376e-28,1.1523646695140946e-24
2,IGHA1,13.485761,3.6808121,1.9837501660193055e-26,6.137723013663731e-23
3,REG1A,12.519623,4.0640125,7.520047042864974e-24,1.3960215330374538e-20
4,IGHG4,10.920902,2.5486605,2.793379626282104e-20,4.321358281858415e-17
5,JCHAIN,10.692955,3.1496894,1.723928183437715e-19,2.28592877123841e-16
6,IGHG3,9.662905,3.180271,6.640050636618589e-17,7.704118751136718e-14
7,IGHM,8.704124,2.812561,1.3029829295161487e-14,1.3438097279743212e-11
8,PLA2G2A,8.593068,2.6846037,2.0592578061360612e-14,1.911403095655492e-11
9,C1QA,8.327028,2.6125975,1.0089531508857085e-13,7.804252622100956e-11
10,S100A6,7.992718,2.1202724,4.677515179735375e-13,3.3397458383310576e-10
11,TMSB10,7.920952,1.7087415,5.481651686995694e-13,3.634335068478145e-10
12,DMBT1,7.6969924,2.726404,3.2328312334241507e-12,1.8754462192901854e-09
13,HLA-C,7.6509523,1.5000122,2.0389097359748725e-12,1.2616773446212512e-09
14,CTSB,6.9468846,2.0965943,1.490673284233289e-10,6.679910263595962e-08
15,HLA-DRA,6.8635287,1.3322911,1.5112919148407155e-10,6.679910263595962e-08
16,PSAP,6.859463,2.095714,2.39156188534531e-10,1.0090217008988714e-07
17,IGLC2,6.8482776,2.744975,2.914609409389343e-10,1.1272251890813284e-07
18,GAS5,6.747467,1.3321562,3.0853384611670973e-10,1.1455244638621199e-07
19,ACTB,6.703942,1.3593966,3.8293723093853033e-10,1.3670859144505534e-07
20,MUC1,6.6682057,4.2883916,8.147710664238399e-10,2.7009660851950293e-07
21,IGLC1,6.6463757,2.119331,7.368474008971368e-10,2.53311762041749e-07
22,LCN2,6.5606327,4.61662,1.3594531162761126e-09,4.0704657500886706e-07
23,SPINK4,6.5394244,2.073281,1.2059610706259998e-09,3.7312435525168437e-07
24,CXCL14,6.4907894,2.3197033,1.6492723000141257e-09,4.783920465228474e-07
25,LYZ,6.2035594,1.5773438,5.87974550468367e-09,1.605170522778642e-06
26,ACTG1,6.073595,1.2398138,9.77457593847973e-09,2.5202114961380234e-06
27,CD74,6.0714774,1.0941008,8.65838447158253e-09,2.296203561863687e-06
28,S100A11,6.0477347,3.4094262,1.604146294898125e-08,3.918338397169577e-06
29,C1S,6.019438,2.8938205,1.7058969962444635e-08,4.060034851061824e-06
30,RACK1,5.9641495,1.0864314,1.521918613143813e-08,3.817959072216453e-06
31,IGLC3,5.943385,3.9839041,2.74684332956943e-08,6.210656962837436e-06
32,IGHG2,5.934002,4.564663,2.8889474411681442e-08,6.236095383470398e-06
33,LINC02739,5.890623,1.48006,2.8102520193834556e-08,6.210656962837436e-06
34,SSR4,5.887717,2.3218164,3.075909900222671e-08,6.488771748606099e-06
35,JAK3,5.833869,2.6475158,4.13586975970723e-08,8.167902789277129e-06
36,TYMP,5.8154583,1.2251505,3.5911403930159235e-08,7.407325583994178e-06
37,KRT8,5.811056,1.5395935,3.927328827081178e-08,7.92466655934076e-06
38,CYBA,5.7021465,2.1329067,7.27476240930314e-08,1.3780478506765661e-05
39,CD24,5.6272755,2.391967,1.1027711701541275e-07,2.0070435296805118e-05
40,SERPINA1,5.535623,1.2378141,1.3204078723776043e-07,2.3124577115865894e-05
41,WARS,5.494711,2.3562686,2.024172442055104e-07,3.416067019482814e-05
42,C1QB,5.4939933,2.8185034,2.0700129046176875e-07,3.431046389403817e-05
43,IFI30,5.389892,2.7221947,3.374698566511157e-07,5.175909702962939e-05
44,TNFRSF6B,5.3855796,4.278132,3.5904489775276553e-07,5.3752495821631775e-05
45,TPT1,5.38338,1.0679857,2.6868018428963087e-07,4.375244685221673e-05
46,GAPDH,5.3493867,1.4072621,3.401535142003224e-07,5.175909702962939e-05
47,SNHG1,5.342782,1.0126547,3.3605660200182553e-07,5.175909702962939e-05
48,PLCG2,5.291349,1.8500319,4.616328276498113e-07,6.69511860350867e-05
49,UBA52,5.2876587,1.2217865,4.359213994681285e-07,6.422575285497093e-05
50,HLA-DQB1,5.2854524,2.1681933,5.042982111634226e-07,7.201378455413673e-05
51,SH3BGRL3,5.2638187,1.9881552,5.644038217098176e-07,7.937570110773525e-05
52,ANXA2,5.205013,1.7709513,7.054064754718937e-07,9.62879839019135e-05
53,SOD2,5.191065,2.0288482,7.503927342981205e-07,9.810063886979092e-05
54,CDC25B,5.170977,2.395972,8.627162872354709e-07,0.00010969496682355673
55,FTL,5.166234,1.0906994,7.499748917189883e-07,9.810063886979092e-05
56,CD59,5.139813,2.975442,1.0289488608132973e-06,0.00012906355846039225
57,IGFBP7,5.124357,2.7207117,1.0574096275595027e-06,0.00012914310740799083
58,CD63,5.0874333,1.5513006,1.1649404520514592e-06,0.00013862791379412365
59,TMSB4X,5.0781946,1.3234897,1.1477875726259623e-06,0.00013836057466382054
60,HLA-E,4.9253764,1.1048503,2.216031851495718e-06,0.0002508439956778446
61,CTSC,4.895356,3.1426234,2.9673383289268604e-06,0.00031658430309309334
62,PDZK1IP1,4.8928804,3.6497495,3.0439942909981367e-06,0.0003174646630229742
63,ATP6V0B,4.8784924,1.98121,3.0030611131128036e-06,0.0003167546960444664
64,TAGLN2,4.8748937,1.5221359,2.8794474321275285e-06,0.00031077943098846184
65,QSOX1,4.809087,2.0908656,4.081923908173671e-06,0.00040306827357093633
66,CD55,4.7391615,2.970808,5.731041668856847e-06,0.0005428115180645842
67,TIMP1,4.660824,2.9774392,7.957594673945959e-06,0.0006968150355053434
68,MUC13,4.656842,1.1916134,7.344998632647521e-06,0.0006785156855238646
69,COL1A2,4.6435366,1.9435332,8.115013469072323e-06,0.0007039584581301804
70,GPRC5A,4.6264067,2.6272743,8.983416109979706e-06,0.0007720747067854781
71,VAMP8,4.6066585,1.5291989,9.069015087389485e-06,0.0007722807159738459
72,ACP5,4.604602,3.588765,1.0221508951029466e-05,0.000847107554316567
73,APOL1,4.5899796,2.856634,1.0604616757940482e-05,0.0008710801128071111
74,MYL6,4.583111,1.0258626,9.626832766780612e-06,0.0008123296521932513
75,COX7C,4.582535,1.3488737,9.934182243030078e-06,0.0008307124286468936
