,names,scores,logfoldchanges,pvals,pvals_adj
0,ZFAND3,6.890464,24.974564,9.788972195471812e-12,4.543061995918468e-08
1,TCL1A,5.838552,24.661076,7.09783650145165e-09,6.937454977728025e-06
2,PIK3AP1,5.502196,24.368877,4.757341557604546e-08,3.1541174526918134e-05
3,AHR,5.4616313,24.263697,5.94395738033854e-08,3.678120826953489e-05
4,FCRL1,5.355372,24.341255,1.0578172092636672e-07,5.775681962579623e-05
5,MIATNB,5.3329787,24.242693,1.1929162169631456e-07,5.827709645185219e-05
6,CRYZL1,5.3329787,24.242693,1.1929162169631456e-07,5.827709645185219e-05
7,FOXJ2,5.028428,24.08124,5.851737287187158e-07,0.0001810527516655707
8,FGR,5.0020695,24.114145,6.689152989722297e-07,0.00020028618726000762
9,LRMP,4.9889207,24.340172,7.149000472564589e-07,0.00020736569495732662
10,AL109811.2,4.9709916,24.104662,7.825457830994969e-07,0.00022010878662816758
11,SHMT2,4.9231777,24.023224,9.94512649224967e-07,0.0002637447545744613
12,UNC13D,4.875411,24.090876,1.2610128477908677e-06,0.00030801898034723245
13,BCAS4,4.8490934,23.926292,1.4359821731464614e-06,0.00032509235441818184
14,LSM12,4.8490934,23.926292,1.4359821731464614e-06,0.00032509235441818184
15,SLC15A2,4.6795087,23.936996,3.2680513896410844e-06,0.0006319594374718447
16,ADAM8,4.6287723,23.794054,4.158688103224225e-06,0.0007877743464107603
17,FBN1,4.5944395,23.83398,4.888914997672108e-06,0.0008726713270844713
18,LYST,4.5149326,23.723167,7.081717325446353e-06,0.0011951363675416918
19,ITIH4,4.480005,23.765049,8.318632849638791e-06,0.0012507815860138187
20,UBR4,4.3983865,23.648668,1.2065887286109757e-05,0.0015895313856983308
21,GTPBP4,4.36283,23.692707,1.4161275277250832e-05,0.001776283204370841
22,FCRLA,4.3153353,23.776993,1.7507370934861267e-05,0.0020758463472612503
23,METTL5,4.2789125,23.57017,2.057146923472352e-05,0.002357337993045725
24,UTP3,4.2426906,23.6166,2.412160081707608e-05,0.0026975505877602584
25,AC067852.2,4.2426906,23.6166,2.4121600817076217e-05,0.0026975505877602584
26,SPRYD4,4.2154455,23.661598,2.7168950007336834e-05,0.0028893858334998646
27,ARHGAP25,4.2154455,23.661598,2.7168950007336834e-05,0.0028893858334998646
28,SIGLEC10,4.1562567,23.487211,3.510032157515211e-05,0.003503238546887762
29,NFATC1,4.1562567,23.487211,3.510032157515211e-05,0.003503238546887762
30,PLK2,4.1562567,23.487211,3.510032157515211e-05,0.003503238546887762
31,EBAG9,4.1562567,23.487211,3.510032157515211e-05,0.003503238546887762
32,CBY1,4.1193304,23.536308,4.111611374643172e-05,0.0038549471494381737
33,COX10,4.0301285,23.39925,5.9945986887495e-05,0.004898589083124498
34,ARL4C,4.0301285,23.39925,5.9945986887495e-05,0.004898589083124498
35,VAMP4,4.0301285,23.39925,5.9945986887495e-05,0.004898589083124498
36,FBXO41,3.9924552,23.451345,7.014177680838013e-05,0.005250451389801487
37,EIF2AK4,3.9924552,23.451345,7.014177680838013e-05,0.005250451389801487
38,MED20,3.9001899,23.305645,0.00010249134540562468,0.007152817053045176
39,WDFY2,3.8617237,23.361128,0.00011977505810123714,0.007667255788246091
40,SNX22,3.8345292,23.414576,0.00013361718906837897,0.008167938174514546
41,LCN2,3.81362,1.3924413,0.00017521226809236623,0.009468790862532555
42,DSE,3.7660456,23.205612,0.00017546132604563666,0.009468790862532555
43,ARHGEF6,3.7660456,23.205612,0.00017546132604563666,0.009468790862532555
44,TMTC3,3.7660456,23.205612,0.00017546132604563666,0.009468790862532555
45,CES1,3.7267377,23.264957,0.00020476651931470923,0.010559126845995172
46,PLEKHH2,3.6996965,23.32198,0.00022753639851536185,0.011196095450604137
47,CCR7,3.6825318,2.5545917,0.000273606630183105,0.012449101673331277
48,JMY,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
49,SEMA7A,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
50,SOX12,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
51,TROAP,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
52,INPP5F,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
53,LRWD1,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
54,DCHS1,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
55,MIR4435-2HG,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
56,PHLDA3,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
57,AFF3,3.627228,23.0982,0.00030084998793523775,0.012690657064071052
58,IGHG1,3.6266458,0.8239798,0.0004027312177456905,0.015714903456954497
59,SLC43A3,3.5870273,23.16199,0.0003505478828926403,0.014270988811445187
60,DENND6B,3.5870273,23.16199,0.00035054788289264196,0.014270988811445187
61,GPM6A,3.5386448,1.512188,0.0005074242036178149,0.01803365287029241
62,HCK,3.519716,23.205612,0.00045133250260354194,0.017196459151170473
63,STAP1,3.5047195,23.264957,0.00047720511082352947,0.01786055580106452
64,UBR7,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
65,VASN,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
66,AL135999.1,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
67,APOBEC3F,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
68,SLC25A32,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
69,C17orf67,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
70,RFX3,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
71,SKAP1,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
72,GPR157,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
73,EIF2D,3.4831781,22.982225,0.0005168015151365849,0.01803365287029241
74,CD84,3.4420307,23.051184,0.0006010955383502415,0.019645664742841344
75,CCDC28B,3.4420307,23.051184,0.0006010955383502415,0.019645664742841344
76,CD53,3.3935702,2.001168,0.0008045909037390943,0.022908628124252373
77,ANKRD50,3.3332164,22.856197,0.0008897432452867612,0.02359599086500491
78,PRAF2,3.3332164,22.856197,0.0008897432452867612,0.02359599086500491
79,P2RY10,3.3332164,22.856197,0.0008897432452867612,0.02359599086500491
80,PRAM1,3.3332164,22.856197,0.0008897432452867612,0.02359599086500491
81,GTF2IRD2,3.3332164,22.856197,0.0008897432452867612,0.02359599086500491
82,SETBP1,3.3332164,22.856197,0.0008897432452867612,0.02359599086500491
